Category_1,Category_2,Percentage
0-4,Female,4.2
0-4,Male,4.3
10-14,Female,4.3
10-14,Male,4.5
15-19,Female,4.3
15-19,Male,4.4
20-24,Female,4.4
20-24,Male,4.5
25-29,Female,3.9
25-29,Male,4.0
30-34,Female,3.4
30-34,Male,3.6
35-39,Female,3.4
35-39,Male,3.6
40-44,Female,3.1
40-44,Male,3.3
45-49,Female,2.8
45-49,Male,2.9
5-9,Female,4.3
5-9,Male,4.4
50-54,Female,2.8
50-54,Male,2.9
55-59,Female,2.6
55-59,Male,2.6
60-64,Female,2.2
60-64,Male,2.0
65-69,Female,1.7
65-69,Male,1.3
70-74,Female,1.1
70-74,Male,0.9
75-79,Female,0.8
75-79,Male,0.5
80-84,Female,0.5
80-84,Male,0.3
85+,Female,0.4
85+,Male,0.2
