Category_1,Category_2,Percentage
0-4,Female,3.6
0-4,Male,3.8
10-14,Female,4.0
10-14,Male,4.3
100+,Female,0.0
100+,Male,0.0
15-19,Female,3.4
15-19,Male,3.6
20-24,Female,3.2
20-24,Male,3.4
25-29,Female,3.6
25-29,Male,3.6
30-34,Female,3.9
30-34,Male,3.8
35-39,Female,4.1
35-39,Male,3.8
40-44,Female,3.8
40-44,Male,3.6
45-49,Female,3.4
45-49,Male,3.2
5-9,Female,4.2
5-9,Male,4.5
50-54,Female,3.0
50-54,Male,2.9
55-59,Female,2.9
55-59,Male,2.7
60-64,Female,2.4
60-64,Male,2.3
65-69,Female,2.0
65-69,Male,1.9
70-74,Female,1.4
70-74,Male,1.2
75-79,Female,0.8
75-79,Male,0.6
80-84,Female,0.5
80-84,Male,0.3
85-89,Female,0.3
85-89,Male,0.1
90-94,Female,0.1
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
