Category_1,Category_2,Percentage
0-4,Female,3.2
0-4,Male,3.4
10-14,Female,3.7
10-14,Male,3.9
100+,Female,0.0
100+,Male,0.0
15-19,Female,3.5
15-19,Male,3.7
20-24,Female,3.8
20-24,Male,4.0
25-29,Female,3.8
25-29,Male,4.0
30-34,Female,3.7
30-34,Male,3.8
35-39,Female,3.7
35-39,Male,3.8
40-44,Female,3.8
40-44,Male,3.9
45-49,Female,3.5
45-49,Male,3.5
5-9,Female,3.7
5-9,Male,3.9
50-54,Female,2.8
50-54,Male,2.9
55-59,Female,2.8
55-59,Male,2.7
60-64,Female,2.3
60-64,Male,2.2
65-69,Female,1.9
65-69,Male,1.8
70-74,Female,1.5
70-74,Male,1.3
75-79,Female,1.0
75-79,Male,0.7
80-84,Female,0.6
80-84,Male,0.4
85-89,Female,0.3
85-89,Male,0.2
90-94,Female,0.1
90-94,Male,0.1
95-99,Female,0.0
95-99,Male,0.0
