Category_1,Category_2,Percentage
0-4,Female,2.8
0-4,Male,3.0
10-14,Female,3.1
10-14,Male,3.3
15-19,Female,3.0
15-19,Male,3.1
20-24,Female,3.0
20-24,Male,3.1
25-29,Female,3.0
25-29,Male,3.1
30-34,Female,3.0
30-34,Male,3.1
35-39,Female,3.4
35-39,Male,3.4
40-44,Female,3.6
40-44,Male,3.5
45-49,Female,3.5
45-49,Male,3.2
5-9,Female,2.9
5-9,Male,3.2
50-54,Female,3.3
50-54,Male,3.0
55-59,Female,3.4
55-59,Male,3.1
60-64,Female,3.4
60-64,Male,3.0
65-69,Female,3.2
65-69,Male,2.8
70-74,Female,2.7
70-74,Male,2.1
75-79,Female,1.7
75-79,Male,1.1
80-84,Female,1.4
80-84,Male,0.7
85+,Female,1.3
85+,Male,0.5
